Title,Contents,Date
Asos went from top to rock bottom,Faulty items are been sent over and over.2 of them in my last three orders.Wrong information + images that mean wrong orders by customers . And the assistants don't understand what's going on but follow asos orders.Way to go Asos,"Dec 11, 2019"
Suzanne was awesome,Suzanne was awesome,"Dec 11, 2019"
Terence,Agent : Terence,"Dec 11, 2019"
Kinga was very helpful but it is…,Kinga was very helpful but it is unfortunate that I my parcels are lost and I complained the day before and the advisor that I spoke to literally copy and pasted a script even though my parcel was would be 3 days delayed by then. I paid for next day delivery and ordered 3 items of only 1 arrived.,"Dec 11, 2019"
Ready to sorr problems,Ready to sorr problems,"Dec 11, 2019"
I was missing two products on my…,"I was missing two products on my delivery and Hanim from Asos, helped me out on fixing the issue and getting me a replacement.","Dec 11, 2019"
The worst customer service I have ever…,"The worst customer service I have ever experienced! My original order was returned but never delivered. I reached out to customer service to replace my order and they wouldn't give me the 30% off I received when I placed my first order. They would only give me a 15% off promo code. I placed a second order, only to realize within 30 seconds of placing it that one of the dresses I placed in my cart was no longer there. I quickly re-ordered it using the same promo code. My card was charged, but the order was cancelled because the promo code was invalid. I reached out to customer service for a second time that day and they said they couldn't see the order and I needed to wait a hour. I waited a few hours, reached out to customer service for a 3rd time in one day, and they would not help me or reissue the promo code. Needless to say, it's been a very frustrating and disappointing experience with ASOS.","Dec 11, 2019"
5 stars,Amazing website,"Dec 11, 2019"
Excellent customer service with yusuf,Dealt with quickly and efficiently. Yufuf is a credit to your team.,"Dec 11, 2019"
Thanks Emma!,My delivery hasn't arrived but Emma was kind enough to inform me about work arounds.,"Dec 11, 2019"
"Send wrong item TWICE, offer no compensation","I order a dress from ASOS website, received the wrong item the first time. Later on I got the same promotion code and shipping fee returned - only when I asked for it. So I ordered the dress again, also using the next-day delivery shipping because I need it asap. And, this time they send the wrong thing again, and it's the same dress that they sent last time! It is either the provider's fault for providing the wrong dress or ASOS just displayed the wrong pictures online. They didn't even bother to double check the order before sending out! I contacted the customer service, they said that they would check in the warehouse, told me to return the dress and not to re-order. Of course I'm not going to reorder. In fact, I will never shop with ASOS again! No compensation, no offer, no nothing, for wasting my time and energy on this one dress!","Updated Dec 11, 2019"
Very helpful,"Very helpful, concerned about a return but expecting the money to be back into my account in the next 72 hours after a quick message on the chat.","Dec 11, 2019"
Frankie was very helpful on the online…,Frankie was very helpful on the online helpline and resolved my issue quickly.,"Dec 11, 2019"
Very helpful thank you,Very helpful thank you,"Dec 11, 2019"
Folashade was brilliant and managed to…,"Folashade was brilliant and managed to resolve what would have been a very annoying issue of returning my order. Will definitely use ASOS again even I didn't receive my outfit because it was sent out very late, I will just think twice before ordering an urgent item Black Friday/Cyber Moday. Thanks for helping!","Dec 11, 2019"
Great customer service!,Connected to me momentarily! Great thanks!,"Dec 11, 2019"
Great professionalsim.,Great professionalsim.,"Dec 11, 2019"
Francesa was extremely helpful and…,Francesa was extremely helpful and patient  with the very tedious problem I had.,"Dec 11, 2019"
Good service,Good service,"Dec 11, 2019"
"Late delivery, bad customer service","Ordered a parcel to be delivered on Monday, however, at the time of delivery both Monday and Tuesday, I was not home. I received an email advising that neighbors were not home to take the parcel. This is a lie as both days there was always someone home.On the email it specifically said delivery will be attempted twice after failed first delivery TWO CONSECUTIVE days in a row. Yet I was told today on online chat that there will be no delivery today and instead it will be done tomorrow.I requested to cancel my order and issue a refund as I will not have any need for the order that is this late.Adviser told me he is not able to do so.I requested to raise a complaint. I was told they will pass the feedback. I was not given any reference to my complaint and adviser closed the chat without any warning.Poor. Service. Extremely disappointed","Dec 11, 2019"
